ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Outdoor_Activities,Outdoor_Details_1_1,Outdoor_Details_1_2,Outdoor_Details_1_3,Outdoor_Details_2_1,Outdoor_Details_2_2,Outdoor_Details_2_3,Outdoor_Details_3_1,Outdoor_Details_3_2,Outdoor_Details_3_3,Outdoor_Details_4_1,Outdoor_Details_4_2,Outdoor_Details_4_3,Outdoor_Details_5_1,Outdoor_Details_5_2,Outdoor_Details_5_3,Outdoor_Details_6_1,Outdoor_Details_6_2,Outdoor_Details_6_3,Outdoor_Details_7_1,Outdoor_Details_7_2,Outdoor_Details_7_3,Outdoor_Details_8_1,Outdoor_Details_8_2,Outdoor_Details_8_3,Outdoor_Details_9_1,Outdoor_Details_9_2,Outdoor_Details_9_3,Outdoor_Details_10_1,Outdoor_Details_10_2,Outdoor_Details_10_3,Outdoor_Details_11_1,Outdoor_Details_11_2,Outdoor_Details_11_3,Outdoor_Details_8_TEXT,Outdoor_Details_9_TEXT,Outdoor_Details_10_TEXT,Outdoor_Details_11_TEXT
R_30ktXzc2zPOw4cC,2020-12-11 17:55:33,2020-12-11 17:29:08,2020-12-11 17:55:32,1,action,"3,7",,,,,,,3,3,4,,,,,,,,,,10,10,6,,,,,,,,,,,,,,,,
R_2E0JLBoRCQIfKLU,2020-12-13 19:20:40,2020-12-13 18:49:44,2020-12-13 19:20:39,1,stationary,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3r0UScEoISswx1u,2020-12-15 12:17:41,2020-12-15 11:46:54,2020-12-15 12:17:40,1,control,"2,3,7,8",,,,1,2,2,2,1,4,,,,,,,,,,10,4,5,5,2,4,,,,,,,,,,,,,
R_1pGvCqnx5M2GLyT,2020-12-16 09:44:45,2020-12-16 09:18:25,2020-12-16 09:44:45,1,action,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3kjiJ0cYAtlKVsd,2020-12-16 16:20:51,2020-12-16 15:53:02,2020-12-16 16:20:50,1,stationary,5,,,,,,,,,,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,
R_3il2hAL3YJMRHuj,2020-12-16 21:52:31,2020-12-16 21:26:59,2020-12-16 21:52:31,1,control,"4,5,6",,,,,,,,,,5,5,3,6,7,1,4,4,6,,,,,,,,,,,,,,,,,,,
R_Y0lC2bURNKQ3rsl,2020-12-17 09:51:38,2020-12-17 09:25:35,2020-12-17 09:51:37,1,action,"7,8",,,,,,,,,,,,,,,,,,,3,7,5,1,2,5,,,,,,,,,,,,,
R_2dFMY5BGCSKCEQ3,2021-02-24 07:37:00,2021-02-24 07:03:16,2021-02-24 07:36:59,1,control,8,,,,,,,,,,,,,,,,,,,,,,12,0,5,,,,,,,,,,,,,
R_1E5Li6MeMODL34o,2021-02-24 15:15:22,2021-02-24 14:46:38,2021-02-24 15:15:21,1,stationary,"2,6",,,,3,3,2,,,,,,,,,,4,3,3,,,,,,,,,,,,,,,,,,,
R_25S29Kh6VpaLFqw,2021-02-25 16:30:12,2021-02-25 11:46:45,2021-02-25 12:30:12,0,stationary,"3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3kcfIwWe0K5Ohab,2021-02-25 16:31:09,2021-02-25 12:30:12,2021-02-25 12:31:08,0,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1K9cVUEdzyFSf7e,2021-02-25 16:35:49,2021-02-25 12:31:08,2021-02-25 12:35:49,0,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3oZSjHLM9sTWMCS,2021-02-27 23:40:39,2021-02-27 23:08:07,2021-02-27 23:40:38,1,action,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2gaGSLsPzgCfoRj,2021-02-28 21:07:32,2021-02-28 20:31:16,2021-02-28 21:07:32,1,stationary,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cSI0E1AtixLPrwd,2021-03-01 20:00:59,2021-03-01 16:00:12,2021-03-01 16:00:59,0,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_27JBGeyWlu3EFI3,2021-03-06 17:40:13,2021-03-06 17:17:31,2021-03-06 17:40:12,1,control,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1Kwq1MUhgnoFENe,2021-03-09 08:24:36,2021-03-09 07:57:46,2021-03-09 08:24:35,1,action,"3,6",,,,,,,1,1,5,,,,,,,1,1,4,,,,,,,,,,,,,,,,,,,
R_PtTsoJVPOfTW2rv,2021-03-09 11:57:47,2021-03-09 07:40:34,2021-03-09 07:57:46,0,stationary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1riYiWF6k8RQCBu,2021-03-12 02:53:12,2021-03-12 02:22:40,2021-03-12 02:53:11,1,action,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2Ytzt4geaOLSqOm,2021-03-12 09:31:00,2021-03-12 09:06:50,2021-03-12 09:31:00,1,control,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2y4qyblvZ1LxqjJ,2021-03-12 09:37:12,2021-03-12 09:00:17,2021-03-12 09:37:12,1,stationary,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6QEugdiR7pfRbR7,2021-03-16 08:20:24,2021-03-16 07:53:26,2021-03-16 08:20:24,1,stationary,3,,,,,,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3qVaJqFhHEw1Q8X,2021-03-20 14:29:04,2021-03-20 10:28:11,2021-03-20 10:29:03,0,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1EYuvfi1bmW6kQW,2021-03-22 01:22:27,2021-03-22 00:48:30,2021-03-22 01:22:26,1,control,7,,,,,,,,,,,,,,,,,,,1,8,3,,,,,,,,,,,,,,,,
R_1ohG4eAV1OPEjaQ,2021-04-03 10:58:07,2021-04-03 08:40:51,2021-04-03 10:58:07,1,action,"5,6",,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
