ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Birth_Year,Education,Occupation,Gender,Race,Exp_Guess,Understanding,Results_Guess,Images,Strategies
R_2wFg7Miy8OTjtaT,2020-12-12 23:25:41,2020-12-12 22:55:40,2020-12-12 23:25:41,1,action,1999,2,student,1,4,"how past experiences in dance, etc affect the ability of our bodies to remember movements",No,"Past experiences/training would correlate positively with the ability to remember movements ","Yes, they are clear. It shows that I should mirror the movements ",patterns of why part of the body was used in sequential movements
R_3Kvahc6B8d3OFpq,2020-12-13 20:30:33,2020-12-13 19:55:01,2020-12-13 20:30:32,1,control,1999,3,student,1,1,How well people who have been formally trained in some sport/athletics can remember sequences of moves,I might have missed this but making sure that we would be tested on the sequences of moves and not just the moves themselves,Those who have formal training in a sport will have a better memory for sequences of activites.,Yes very,"I tried to remember if the every activity happened on the left side and then all the activites happened on the right side. Or if every other activity switched off sides
"
R_ey5KBdRc5RLiFs5,2020-12-14 18:36:20,2020-12-14 18:10:11,2020-12-14 18:36:19,1,stationary,2000,3,,1,"3,1",,all good!,i think they might show something about memory and how experience with sports/fitness is related to memory in movement,yes! very clear,I just tried to remember so cognitive i guess
R_1lmnsX6B7rrWarZ,2020-12-16 08:55:09,2020-12-16 08:24:46,2020-12-16 08:55:09,1,stationary,1999,2,student,1,6,whether having any type of formal training in a sport would lead you to recognize patterns and predict the next movement,"pretty clear, understood all","i believe that if you have any formal training in a sport that requires various movements that are generally the same thing like a dance sequence or punches/kicks, then you would be better at predicting what the next move in the sequence should be ",they were clear,imagined myself doing those same movements
R_3KSFfa1fuAM35Uq,2021-02-23 09:33:42,2021-02-23 09:06:11,2021-02-23 09:33:42,1,control,1999,2,Student,2,4,Recognizing patterns in movement by remembering what you saw and using muscle memory,,Individials trained in martial arts or any forms of dance may be more accurate and confident in guessing patterns of movement demonstrated in the 5 minute videos.,The questions were clear but it was sometimes difficult to interpret the images with the actual movements from the video.,I tried mostly to memorize what I saw visually.
R_22YeesBACbP17Xl,2021-02-23 11:37:00,2021-02-23 11:07:43,2021-02-23 11:36:59,1,action,2001,2,student,3,,,,"memory, movement recall ","absolutely ",
R_1FtCHinZ1VmGctM,2021-02-23 23:08:05,2021-02-23 22:37:55,2021-02-23 23:08:04,1,control,2002,2,Student,1,4,Learning how people move and comprehend the movements being shown to them.,"No, everything was very clear. ","The results would probably show how movement has an effect on information storage and learning in general. ","The questions were images were clear. For this image particularly, I interpreted walking in place as you watch the video. ","I would say the movements in my head or try to relate it to something so that it is easier to remember. "
R_2txU80tqpU5oWDK,2021-02-24 19:01:23,2021-02-24 18:35:12,2021-02-24 19:01:23,1,stationary,2002,3,student,2,1,Muscle memory/memory related to movement,Nope,That when you're standing up it helps you to remember what movements you're viewing.,They were clear enough,Memory and athletic ability
R_1hKD8bqt0U4mqUT,2021-02-25 13:07:37,2021-02-25 12:37:16,2021-02-25 13:07:36,1,action,1998,3,student,2,1,"How having more experience with developing muscle memory, through sports/activities/etc., equates to actual ability to memorize physical movements",N/A. There was not anything that was unclear to me personally,"That those people with more physical experiences, specifically ones that require significant coordination, would have a better muscle memory","They were clear, I interpreted as mirroring rather than copying the exact motion","When standing up, I completed the tasks myself to allow myself to have both the visual memory and muscle memory from doing the motions in order"
R_1qahVm0PTQfV030,2021-02-27 09:42:07,2021-02-27 09:18:49,2021-02-27 09:42:07,1,action,1999,4,,1,6,body memory,,people without training have poor eye-to-body correlation,Eh,
R_3qebFBcGGEKvIJ7,2021-02-28 15:07:01,2021-02-28 14:42:14,2021-02-28 15:07:00,1,stationary,1999,3,college student,1,1,"I think the study was about kinetic memory, of which I have none.","Was I supposed to memorize the order of the moves, or just move through them? I can't remember from the instructions. When I was repeating the moves I wasn't thinking about the order I was thinking about other things and just blindly following the man. Then when the questions came I really didn't know them.","My guess would be those who have had training in sports or dance have a high accuracy rate with the movements, and those who have no training have a very poor accuracy rate.",Yes they were clear. I stood in front of my computer on the floor.,I just copied what the man did on the screen and watched the video. I didn't use any particular strategy.
R_1MSNeuaT5ao9PaC,2021-03-01 18:16:12,2021-03-01 17:45:32,2021-03-01 18:16:11,1,control,2002,2,Full time college student,1,6,Memory and multitasking,n/a,I think they would show that I was not able to perform so well on the experiment as I was not able to remember most of the moves the video played.,"Yes! the images and instructions where very clear. I had to walk in place while I moved my arms. ","I tried to remember what the first step was, during the first seconds when the videos began. I tried to notice of the movements where playing in a constant loop, I also tried to recognize if I had already seen a movement done a specific side and if the movement was new. "
R_5bxYVYjgXHvZtzr,2021-03-03 12:47:19,2021-03-03 12:14:30,2021-03-03 12:47:19,1,control,2001,2,Student,1,4,Exercise during the time of covid-19,"I didn't realize how much I had to pay attention to the order of the movements in the video. I was watching for ""unique"" motions that didn't have a mirrored version and it was not until the first question that I realized what I was supposed to look for. 
Also, I was a bit confused as to why I had to walk in place when watching the video twice but remain seated only once. I thought perhaps there would be a third section where I replicate the movements but that didn't happen.",I think people trained in dance would probably have the most correct guesses since these motions seem very similar to dance choreography,I can't see the second image for some reason but the first image was very clear. I simply walked in place in front of my computer as per the instructions.,I didn't know what I was supposed to look for so I just watched the videos and tried to remember what stood out to me
R_1gtnRHluySObaEd,2021-03-06 20:20:04,2021-03-06 16:59:50,2021-03-06 20:20:04,1,stationary,1999,2,Student,2,4,Memorization of movements,no,"How well people with differing levels of fitness or formal training in sports or fitness actives are able to memorize movements rapidly. ",Yes,Counting of movement in my head
R_UuvXDvQe8lxyhfH,2021-03-06 20:59:53,2021-03-06 16:49:53,2021-03-06 16:59:49,0,action,,,,,,,,,,
R_32RCguc6SxUOIVY,2021-03-16 09:29:16,2021-03-16 08:53:17,2021-03-16 09:29:15,1,action,1998,3,student,2,1,muscle memory,no,athletes/dancers having a fairly developed muscle memory over others,I mirrored the movements,i did the two movements i saw and my body replicated the 3rd
R_1NlF3wGEg7CjHxt,2021-03-19 21:08:40,2021-03-19 20:32:42,2021-03-19 21:08:40,1,action,2000,3,"Student, Tutor, TA",1,6,"How experience/training in activities that required movement, coordination help a person have better ""muscle memory""",I think it was not difficult,My results would be that I did average or a bit below average. I frankly had a hard time seeing a pattern at first until I was able to do myself but even then struggled.,Yes it was clear. I mirrored the movements.,I tried to mostly remember what movements came after each other.
R_cSFU8oIxXXpKG3f,2021-04-02 00:20:09,2021-04-01 23:52:41,2021-04-02 00:20:09,1,stationary,1999,2,Student,1,4,How much someone remembers the movements by standing/sitting? How does outside training in sports and dance affects someone's movements memory?,No.,People who had formal training remembered more movements than those who didn't.,Yes. The top one was to stand and bottom one was to sit.,Based on my memory
R_116qdOU3IK0Egpr,2021-04-02 13:13:31,2021-04-02 12:43:24,2021-04-02 13:13:30,1,control,2001,2,"Student ",1,"4,1","Watching movements and seeing if doing some type of movement yourself will help you learn it better. ","When evaluating recent years, it would have been helpful to provide an example of when a student hasn't been training for like 2 years. Would you write a 2 in the box? ","That watching it while actually doing some type of movement resulted in a higher accuracy in predicting the next movement. ","They were clear. I just interpreted them as just keep walking in place while the person in the video was doing various movements. ","I said the movement in my mind while the guy was doing it in the video, which helped me learn it a bit. "
R_3qlFd2JshwMZSN4,2021-04-03 20:01:01,2021-04-03 19:28:46,2021-04-03 20:01:00,1,stationary,2000,3,Student,1,2,"The impact of spatial movement/physically moving through space, or lack thereof, on muscle memory.","No, the experiment directions were straightforward and easy to understand.",Lack of physical/spatial movement is not helpful for developing muscle memory.,"They were pretty clear to me. I read it as ""Don't sit and watch the video, stand and watch it."" Although I did need to read the written instructions to make sure I wasn't supposed to be moving and stay still. ","I know we weren't supposed to move, but I feel like I would naturally try to slightly move my body in a way that reflected the movement (e.g. bouncing or slightly turning) to mark the movements. It was hard to stay completely still. "
R_2aKtPsBD5xoat1J,2021-04-06 11:18:27,2021-04-06 10:48:56,2021-04-06 11:18:27,1,action,1999,3,"Student ",1,1,To learn how people pick up movements after repeated exposure.,"Everything was fairly easy to understand, except I accidentally clicked I had received no dance training when that was not the case. I am currrently training in dance still.",I think the results would show that people with more dance and sports training would be able to pick stuff up faster.,"Yes, they were clear","Memorization, dance technique, repetition"
R_3oZVIolfnWIc2HD,2021-04-06 17:48:14,2021-04-06 17:21:05,2021-04-06 17:48:14,1,control,2000,3,student,1,1,"Memorization based on experience/training ",nope,People who have had some sort of memorization training (sports) will memorize the movement more accurately,yed they are clear,concentration
