ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Birth_Year,Education,Occupation,Gender,Race,Exp_Guess,Results_Guess,Understanding,Strategies,Images
R_Qgdv5Q0v8V1EWT7,2020-12-13 22:32:55,2020-12-13 21:46:34,2020-12-13 22:32:55,1,stationary,1998,3,Student,1,1,"Memory ",That by not saying what it's about we pay less attention to the details.,"what the purpose was, more background info would have been helpful ","I thought I would have to remember if certain poses were in the video so i wasn't memorizing individual actions, but patterns were only remember as a by-product.","Yes, that I was to stand and do the actions with the video instead of sitting."
R_eJQhbWSME90sW6l,2020-12-15 12:27:29,2020-12-15 11:56:28,2020-12-15 12:27:29,1,action,1998,2,student,1,1,Memory from movements,That performing a movement leads to better memory,"No, everything was clear",I tried to find a pattern in the movements while watching the video,"Yes, they were clear and I was able to follow them easily"
R_2QfjS9k0VE4B3ex,2020-12-16 15:53:34,2020-12-16 15:26:43,2020-12-16 15:53:33,1,stationary,2000,3,Student,1,"4,1","how integrating movement can change learning quality ","more movement leads to better learning, and there tends to be an increase in memory of movement for those who are trained in sports that require memorization of a movement routine (dance, etc)",,slightly mimicking the movements with my hands,"maybe bold the idea that we are not to move while standing and watching
"
R_1jdjzXM6TTxWU15,2020-12-20 02:23:33,2020-12-19 22:05:23,2020-12-19 22:23:30,0,control,,,,,,,,,,
R_2TS04vuRri2Tzy3,2020-12-20 02:23:37,2020-12-19 22:23:30,2020-12-19 22:23:36,0,action,,,,,,,,,,
R_eWFeakVIjkmlzgd,2020-12-22 09:39:37,2020-12-22 09:16:24,2020-12-22 09:39:36,1,action,2000,5,student,1,4,Whether replicating movement increases memory accuracy,,The videos were slightly confusing,,"Yes, the images were clear on how to replicate movements"
R_xDBozmNIJhLwDMB,2021-02-23 12:00:05,2021-02-23 11:34:18,2021-02-23 12:00:05,1,stationary,2001,2,student,1,1,whether learning by doing activity is better than learning while sitting and looking at someone,those with experience learning with movement are better at it than those who do not have as much experience,"not difficult ",try to remember them in my head and act them out,they were clear
R_1n9hXXlqv4725Nx,2021-02-23 13:03:46,2021-02-23 09:03:04,2021-02-23 09:03:45,0,stationary,,,,,,,,,,
R_3jdnVXeXzCFjRyz,2021-02-25 03:37:05,2021-02-24 23:36:22,2021-02-24 23:37:00,0,action,,,,,,,,,,
R_2w62m0QjvI58rMO,2021-02-25 19:18:13,2021-02-25 18:45:24,2021-02-25 19:18:10,1,control,2001,2,student,1,1,seeing if going through the movements helps remember them better,easier moves are easier to remember,everything was good,tried less on memorizing and more on understanding what movement led to the next,they were good
R_w1tERrKrnr23GIV,2021-02-26 15:50:57,2021-02-26 15:26:14,2021-02-26 15:50:56,1,action,2000,3,student,1,4,I think this study is about how different formal training can affect one's ability to remember sequences of movements.,I would guess that people with formal training in dance would have performed better in the assessments.,"No, everything was very straight forward.",I tried to remember the best I could.,"The third picture is not loading. 
The first two pictures were very self-explanatory. I understood that I was to mirror the movements as they were presented to me."
R_yBJcWiGUlZbxLuF,2021-02-26 22:12:20,2021-02-26 21:49:43,2021-02-26 22:12:20,1,control,2000,2,student,1,4,body movement and memory,Moving the body will help remember the movement,None,Anticipate the next move while watching the full video,
R_BzgpyhFK6vCMUgN,2021-02-28 11:06:13,2021-02-28 10:30:45,2021-02-28 11:06:12,1,stationary,1999,3,Student,1,1,"Learning patterns maybe related to language learning and how people pick up on the patterns of words and how reliably words are used together. ",I think the results would show that people more accurately remember the sequences of that were consistently after one another. I am not sure what the standing vs sitting was for.,"For the standing part I was unsure if I should raise my computer to eye level or leave it on the table. It didnt say to raise it, so I left it on the table.",I focused on the movement patterns that came up and tried to remember them as a sequence.,Yeah it was clear I was just not sure where the computer should be positioned on the table or if I was allowed to tilt the computer screen or not.
R_2rkjwQWCsVwRGuY,2021-03-01 12:18:03,2021-03-01 11:37:48,2021-03-01 12:18:02,1,stationary,2000,3,Student,2,4,Remembering the pattern of motions,It is hard to remember the pattern with long 5 minute video segments.,I wasn't sure if I was supposed to follow during the third set of videos since I was just standing up for a while,I just tried to remember the patterns,"Yes, they were clear"
R_27x3rOFJ0mxbfzl,2021-03-08 15:22:50,2021-03-08 15:00:48,2021-03-08 15:22:49,1,control,,,,,,,,,,
R_Toc7KrnXwSl8JsB,2021-03-11 14:23:33,2021-03-11 13:56:37,2021-03-11 14:23:32,1,action,2001,2,College student,1,1,How peoples past experience with physical activity influences their memory of movements,I would think people with more experience in physical activity would be better at remembering movements,I thought it was clear,Trying to remember what movements I had done in the past,Yes they were clear. I interpreted them as telling me to mirror the movements.
R_24ee4Pzz0MfRvSt,2021-03-26 13:14:44,2021-03-26 12:48:47,2021-03-26 13:14:44,1,stationary,2000,3,Student,1,1,Relationship between sports training and memory,That receiving formal training in athletics makes you more able to remember athletic movements,,Tried to remember the moves in my head by repeating them,the images were clear.
R_1dlRMVtlkOHFKUh,2021-03-27 20:10:21,2021-03-27 19:44:32,2021-03-27 20:10:21,1,control,2000,3,,1,1,,,,,
R_2RX1w1tljXBbsF5,2021-04-02 21:05:37,2021-04-02 20:32:55,2021-04-02 21:05:37,1,control,2001,3,"Full-Time Student ",1,2,"I think the study wanted to measure our memory abilities while also being distracted and completing a task. I also think it could have been about the ability to remember a task or carry out an exercise, while not physically doing it while you learn. ","I think the results would show that tasks that are done in a certain order that are similar to each other are easier to remember. For example, lifting your left leg was easier to remember after the person lifted their right leg. However, when there were unrelated tasks such as a spin and jump it was much harder to remember. ","The study was easy to follow and very self-explanatory. It was a little weird to have no audio, but I am assuming that it is part of the study. ","I tried to remember the steps of the person in categories, which made certain movements easier to remember. For example, if he lifted a leg I tried to group the three movements that followed into a category. ","Yes, they were clear. 
It looked like we were supposed to continue a steady motion in place while the person on the screen was moving around. We were supposed to watch, but not copy."
R_24ADeoWP3McWbyU,2021-04-05 21:16:00,2021-04-05 20:51:22,2021-04-05 21:15:59,1,action,2001,3,student,2,4,"to see how different activities affect what movements we are more familiar w ",I think it would show that I am somewhat athletic,"I think the movements went fast ","repeating the movements ",Yes
