ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Birth_Year,Education,Occupation,Gender,Race,Exp_Guess,Results_Guess,Understanding,Strategies,Images
R_30ktXzc2zPOw4cC,2020-12-11 17:55:33,2020-12-11 17:29:08,2020-12-11 17:55:32,1,action,2001,3,student,1,1,no clue,"post experience and movement recognition ",no,repeating the movements,yes
R_2E0JLBoRCQIfKLU,2020-12-13 19:20:40,2020-12-13 18:49:44,2020-12-13 19:20:39,1,stationary,,2,student,1,4,"I think this study focused on the ability to remember and implement an unfamiliar set of movements. ","I think the results would show that most people can accurately mirror the movements depicted and predict what happens next. ",No,I removed all distractions such as my phone in order to successfully complete the tasks presented to me.,"The images were clear, and I used the instructions presented with the images to accurately interpret them."
R_3r0UScEoISswx1u,2020-12-15 12:17:41,2020-12-15 11:46:54,2020-12-15 12:17:40,1,control,1999,2,Student,2,1,Physical activity experience and relationship to coordination / muscle memory,"Exercise and movement is paired with muscle memory, more likely to remember coordinated movements.","Why I was being made to watch the 5 minute video multiple times, in different ways.","Attention to detail and high focus. ",They were very clear.
R_1pGvCqnx5M2GLyT,2020-12-16 09:44:45,2020-12-16 09:18:25,2020-12-16 09:44:45,1,action,2000,2,Student,1,4,Learning movement and seeing how memory works with movement,I think the results would show that common patterns are better memorized,The video buffered sometimes and moved on before I finished,Saying words in my head,"Yes, I just mirrored the screen"
R_3kjiJ0cYAtlKVsd,2020-12-16 16:20:51,2020-12-16 15:53:02,2020-12-16 16:20:50,1,stationary,1999,3,"student ",1,2,no idea,"how athletic i am at this point of my life and what my past has to do with it ","nothing ",n/a,clear
R_3il2hAL3YJMRHuj,2020-12-16 21:52:31,2020-12-16 21:26:59,2020-12-16 21:52:31,1,control,2002,3,student,1,6,I think the study was about confidece in remembering workouts or see hwo comfortable we are performing them,I think it wil show that I am underconfident in my abilit to remeber and executte,N/A,,I looked from left to right in terms of order
R_Y0lC2bURNKQ3rsl,2020-12-17 09:51:38,2020-12-17 09:25:35,2020-12-17 09:51:37,1,action,2000,3,Student,1,4,Correlation between experience and ability in motor coordination,More experience led to better/faster learning of motor coordination,,"I tried to find a pattern in the movements so I could remember the order, but they felt quite random exept for some pairs of movements that were always together.",clear.
R_2dFMY5BGCSKCEQ3,2021-02-24 07:37:00,2021-02-24 07:03:16,2021-02-24 07:36:59,1,control,2000,2,Student,1,"6,1",if performing the movements helped people recall their memory of the movement,"most people are able to recall the movements by doing them compared to just watching ","it was hard to focus on the video for a long period of time, affected my memory because I was bored",,Yes they were clear
R_1E5Li6MeMODL34o,2021-02-24 15:15:22,2021-02-24 14:46:38,2021-02-24 15:15:21,1,stationary,2002,3,Student,3,1,Learning and remembering movements,I'm not sure. Probably that I suck at learning movements. Maybe its being compared a group who did the movements along side the video because I feel like that would have made a big difference in the results and its showing that doing movements is the best way to remember them.,The measurements of time in the questions asking about sports are confusing. Also the experience levels seem sort of subjective and I wasn't sure how to accurately answer them.,I tried to predict the movements coming next as I watched the videos but I found myself so bored I know I wasn't paying full attention. It was hard to stay still.,Yes they were clear
R_25S29Kh6VpaLFqw,2021-02-25 16:30:12,2021-02-25 11:46:45,2021-02-25 12:30:12,0,stationary,,,,,,,,,,
R_3kcfIwWe0K5Ohab,2021-02-25 16:31:09,2021-02-25 12:30:12,2021-02-25 12:31:08,0,control,,,,,,,,,,
R_1K9cVUEdzyFSf7e,2021-02-25 16:35:49,2021-02-25 12:31:08,2021-02-25 12:35:49,0,action,,,,,,,,,,
R_3oZSjHLM9sTWMCS,2021-02-27 23:40:39,2021-02-27 23:08:07,2021-02-27 23:40:38,1,action,1999,3,"college student ",1,4,"If people can subconsciously grasp patterns while physically moving their bodies. (Note: When guessing if a pattern of movements happened or not (part 2 I believe), I accidentally clicked the play button twice and missed the first video. I didn't miss any afterwards.)","Most people will remember that ""lifting left leg"" happens after lifting each arm in side ways. I am not sure about other patterns. ","Everything was quite clear. ","I tried to remember the patterns as much as possible, but it was much more difficult than I thought.","Yes, the images were easy to understand."
R_2gaGSLsPzgCfoRj,2021-02-28 21:07:32,2021-02-28 20:31:16,2021-02-28 21:07:32,1,stationary,2000,2,student,1,6,whether people with formal versus non-formal athletic training can predict movements,people with more training are more likely to predict the correct movements,I had a difficult time remembering the sequence of movements,I tried to memorize the movement sequence while performing them,"yes, they were clear"
R_cSI0E1AtixLPrwd,2021-03-01 20:00:59,2021-03-01 16:00:12,2021-03-01 16:00:59,0,control,,,,,,,,,,
R_27JBGeyWlu3EFI3,2021-03-06 17:40:13,2021-03-06 17:17:31,2021-03-06 17:40:12,1,control,2001,2,Student,1,4,Movement memory,How well you memorize movement,No,"Looking at steps ",Yes
R_1Kwq1MUhgnoFENe,2021-03-09 08:24:36,2021-03-09 07:57:46,2021-03-09 08:24:35,1,action,2002,5,,1,4,About memory,How muscle memory and experience in sport interact,No. It was great,Memory,Imitate the person in the video
R_PtTsoJVPOfTW2rv,2021-03-09 11:57:47,2021-03-09 07:40:34,2021-03-09 07:57:46,0,stationary,,,,,,,,,,
R_1riYiWF6k8RQCBu,2021-03-12 02:53:12,2021-03-12 02:22:40,2021-03-12 02:53:11,1,action,2000,2,Student,1,2,"trying to see how long it takes a person to learn movements. ","I think it depends on the person's experience if they received training for dance, martial arts or any sports, then they would show that they remembered most movements  because they have been learning movements for a while and maybe their brains adapt easier compared to people who never received any training.",everything was clear,I stayed focused and repeated  the movements out loud in my head,Yes they were clear
R_2Ytzt4geaOLSqOm,2021-03-12 09:31:00,2021-03-12 09:06:50,2021-03-12 09:31:00,1,control,2000,3,Student,1,1,"I think I was supposed to remember more movements when I was moving with the video as opposed to when I was sitting and watching it ",I think I should remember more movements from the movement phase,"No, I understood the directions clearly ","Careful attention, memory skills",I found it clear what they images were trying to get me to do
R_2y4qyblvZ1LxqjJ,2021-03-12 09:37:12,2021-03-12 09:00:17,2021-03-12 09:37:12,1,stationary,2001,2,Student,1,"6,1","Memory processing of movements ","The results would should the ability to remember what movement would come next in a sequence based solely on watching. My results would show maybe that I have an idea, but am not always correct nor confident. ",N/A,"Tired to think about what movement came before it was presented. Looked for key movements that always came sequentially. ",yes
R_6QEugdiR7pfRbR7,2021-03-16 08:20:24,2021-03-16 07:53:26,2021-03-16 08:20:24,1,stationary,2002,2,Student,1,1,How your background knowledge and kinesthic level intelligence influence your ability to replicate a seires of movements and find patterns.,,,I tried finding patterns and grouping sequences that I thought corresponded to each other.,yes
R_3qVaJqFhHEw1Q8X,2021-03-20 14:29:04,2021-03-20 10:28:11,2021-03-20 10:29:03,0,action,,,,,,,,,,
R_1EYuvfi1bmW6kQW,2021-03-22 01:22:27,2021-03-22 00:48:30,2021-03-22 01:22:26,1,control,2000,5,Student,2,4,Memory and movements,I guess the result will show that I recall better on the part I watched while walking,No,Follow the instructions closely,Yes
R_1ohG4eAV1OPEjaQ,2021-04-03 10:58:07,2021-04-03 08:40:51,2021-04-03 10:58:07,1,action,2001,8,student,1,1,How we learn patterns in motion,people with experience learn faster,the purpose of the study,practice,yes very clear
