ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Birth_Year,Education,Occupation,Gender,Race,Exp_Guess,Results_Guess,Understanding,Strategies,Images
R_1r8q2WcV20ldRRJ,2020-12-12 20:38:26,2020-12-12 20:11:09,2020-12-12 20:38:26,1,action,1999,3,student,1,1,how watching vs doing a set of movements affects memory of sequences,Sequences that participants physically did are more easily/correctly remembered than those that they only watched,,"watching hands and feet specifically ",they were clear
R_3PRL47a08LkcgCX,2020-12-12 21:50:37,2020-12-12 21:12:39,2020-12-12 21:50:37,1,control,2000,3,Student,1,2,Memorization of movement based on past physical training.,"That people with more athletic ability and formal training, memorized the video more.","The video kept loading at some points which made it harder to look at the video in a continuum. ",Trying to repeat the movements in my head.,Yes they were clear.
R_2CleyaFI8j68tvi,2020-12-14 21:33:13,2020-12-14 21:06:30,2020-12-14 21:33:12,1,action,2000,2,Student,1,1,"how one's previous experience in sports, dance, and/or martial arts related to their ability to memorize a sequence of movements ","those with more years of experience that is recent and have higher levels of expertise in dance and martial arts will be better are remembering a sequence of movements ",no,,they were clear
R_2QSQMLCoqAbJ4Uy,2020-12-19 12:00:09,2020-12-19 11:30:55,2020-12-19 12:00:09,1,stationary,2003,1,student,1,,how different activities done in the past or present affect one's ability to remember and replicate movement,"those who have done more choreographed/memorized activities remember movement better. The more recent the activity, the more they remember",,When i was watching the video i would try to guess what movement was coming next,yes
R_9XYPYREeHHivfvH,2020-12-19 16:56:08,2020-12-19 16:13:19,2020-12-19 16:56:07,1,action,1998,5,student,1,4,memory,I have no idea,no,paying attention to the task and not losing focus,yes
R_9Z6V2jy8zanjCet,2021-02-23 13:16:13,2021-02-23 12:46:52,2021-02-23 13:16:12,1,stationary,2000,3,Student,2,1,Memorization of movements and capability of reproducing them. And measuring that capability against dance/fighting/sports experience,People who dance regularly or who are experienced dancers will memorize and reproduce the movements in the video better than those who are not. The same could go for experienced fighters and/or athletes,No. This study was well explained and executed,Paying close attention and trying to remember/recreate the movements as best as possible,"Yes, these images were very clear and helpful"
R_7OMvDnLUYAXcJ3P,2021-02-23 19:26:14,2021-02-23 18:57:34,2021-02-23 19:26:14,1,control,1999,3,student,1,1,"I think this study was about visual techniques intended to teach a participant moves who is not currently physically following along. ","I think that the results would show a positive correlation between those with advanced athletic training and those who performed better on the memory test. ","I was confused about how to play the video, as the grey button that said ""press this when the video is finished"" (or something similar) was not extremely obvious on my screen. ","I would have wanted to follow along with the model, but I followed the directions about sitting and walking in place. I did my best to remember the order by trying to visualize a dance, but it was difficult when the movements were shown in isolation. ","I felt they were clear. ""Walk in place"" is a pretty standard instruction. "
R_qXb6kFYFabudYuB,2021-02-24 15:57:32,2021-02-24 15:28:36,2021-02-24 15:57:32,1,stationary,2001,2,College student,1,1,How well people are able to recreate movements after watching videos about them,People with physical activity experience would be better at remembering the moves,n/a,Watching the video,Yes they were very clear
R_2D040LrzDnjnxX5,2021-02-24 23:34:41,2021-02-24 23:07:31,2021-02-24 23:34:41,1,action,2000,2,Student,1,1,Maybe about how movements affect memory... but loved it and loved moving around,that i did better in the second trial of memory... aka i did better getting up and trying out the third move than remembering if it was the right sequence,no. loved it,"concentration, did the movements exactly how they looked on the screen",this specific image i cannot see but the questions with the images were great!
R_7TGS1WSDK2gtkWZ,2021-02-26 04:32:35,2021-02-26 04:00:26,2021-02-26 04:32:35,1,stationary,2002,2,Student,1,4,Maybe something related to investigating how exposures to activities that involve body movements can influence how people learn new movements.,People with more experiences with activities that involve body movements will probably be better at learning new movements.,"Everything was very clear! ",I looked for patterns in the movements and tried to imagine myself doing them when I was looking at the videos.,The images were clear and I just followed the black person and did what he's doing in the image while doing the tasks.
R_OjIL607w1KL8NLr,2021-02-27 19:11:15,2021-02-27 18:47:00,2021-02-27 19:11:15,1,action,2001,3,Student,2,1,Exercise and how it ties to memory and experience,Active people remember more movements,"The time of training was confusing, word it as how long ago was your last training in years",memory,Yes clear
R_31GhOM0K5ZZiIOU,2021-02-28 15:10:27,2021-02-28 14:36:21,2021-02-28 15:10:26,1,control,2000,3,"Student ",1,4,I  guess it is about whether moving while watching the movements will help subjects to memorize the (sequence of) the movements.,"I don't think walking is helpful with memorizing movements. ",Everything was pretty clear to me.,"I didn't use strategies. ",
R_1LNbnaPgt7LK42u,2021-02-28 23:58:59,2021-02-28 19:29:33,2021-02-28 19:58:56,0,action,,,,,,,,,,
R_yxNdeK7WQ6p9PcR,2021-03-01 09:44:07,2021-03-01 09:13:50,2021-03-01 09:44:07,1,control,2000,3,unemployed,2,"4,6",Being able to memorize movements by watching and doing them and seeing how the results of that portion of the study correlate with previous work in physical training,"I probably didn't remember a lot too well and also have not gotten training for any physical sports or activities in a while or for years, so there may be a relation.",N/A,I just used my memory the best I could and based my answers off of patterns as well as what I believed I remembered.,"It was easy to follow what the pictures were indicating, especially because the instructions were very clear throughout the study on what was being asked."
R_1QLTSqvciPHARmS,2021-03-02 00:45:17,2021-03-01 20:24:22,2021-03-01 20:45:16,0,action,,,,,,,,,,
R_OOSMzJUU74DkL2F,2021-03-04 18:42:59,2021-03-04 18:18:06,2021-03-04 18:42:58,1,control,2000,3,student,1,"4,7","If movement makes it easier to remember the order. ",Having training would mean you remember the order better and are more confident in your answers.,No,"Guessed ","Yes, they were clear"
R_1d5XYx82RrqtMGa,2021-03-08 00:35:08,2021-03-08 00:05:12,2021-03-08 00:35:08,1,stationary,1997,5,Student,1,4,Ability to memorize the type and order of different body movements,"People who had experience in dance/martial arts (sports that require memorization of several steps with their body) would have a better memory of the body movements, and what comes after. While people who had no experience with the above would have a harder time memorizing the order of steps.",NA,"I tried to find a pattern in the order of the gestures but realized that there wasn't a clear pattern. I also looked for gestures that were drastically different from others e.g. the jumps and turns, as the leg movements and leg raises were similar.",The images and signage are clear. I believe I interpreted them correctly by doing the movement when the question mark appeared.
R_1rPkNLCktfEXhR9,2021-03-12 18:58:27,2021-03-12 18:30:54,2021-03-12 18:58:26,1,control,2001,3,Student,1,1,How learning and mimicry fuctions?,That it is easier to learn movements while you are moving yourself,"I almost missed that we had to mirror the movements at the end, but I saw it before I started!",I tried to remember which side things tended to occur on and look for patterns or which types of movements went together usually,This was pretty clear!
R_0Bqz3ThCxA96a0F,2021-03-13 11:51:33,2021-03-13 11:25:02,2021-03-13 11:51:32,1,action,1999,2,"student ",1,4,"How physical movement helps memory ","that by doing the movements, there becomes some sort of muscle memory that helps to remember certain actions ","None ","Tried to do the actions as best as I could, tried to use muscle memory ","Yes! "
R_301972JI9hxcbI2,2021-03-21 16:31:40,2021-03-21 15:58:44,2021-03-21 16:31:40,1,stationary,2001,3,TA,2,"6,1",I believe this study was about action memory based upon an active stance.,I believe that it would show that the movements performed while the person was standing would be remembered better.,"The study was pretty specific, I thought the diagrams were helpful.","I tried to remember what I saw, and picture the movements in my head.",I thought the images were really nice.
R_2a9NhpsBpqKBtzl,2021-04-09 16:59:32,2021-04-09 16:28:26,2021-04-09 16:59:31,1,action,1998,3,Student,2,2,"Best way to teach a sequence of dance movements without audio feedback. ","That it is hard to learn without audio. ",,,"Yes, they were clear. "
