ResponseId,RecordedDate,StartDate,EndDate,Survey,Finished,condition,RS-1_T-1_Recognition,RS-1_T-1_Likert_1,RS-1_T-2_Recognition,RS-1_T-2_Likert_1,RS-1_T-3_Recognition,RS-1_T-3_Likert_1,RS-1_T-4_Recognition,RS-1_T-4_Likert_1,RS-1_UT-1Recognition,RS-1_UT-1_Likert_1,RS-1_UT-2Recognition,RS-1_UT-2_Likert_1,RS-1_UT-3Recognition,RS-1_UT-3_Likert_1,RS-1_UT-4Recognition,RS-1_UT-4_Likert_1,RS-1_T-1c_Likert_1,Correct_Mvt_RS-1_T-1,RS-1_T-2c_Likert_1,Correct_Mvt_RS-1_T-2,RS-1_T-3c_Likert_1,Correct_Mvt_RS-1_T-3,RS-1_T-4c_Likert_1,Correct_Mvt_RS-1_T-4
R_1LNbnaPgt7LK42u,28/02/2021 23:58,28/02/2021 19:29,28/02/2021 19:58,RS-1,0,action,,,,,,,,,,,,,,,,,,,,,,,,
R_31GhOM0K5ZZiIOU,28/02/2021 15:10,28/02/2021 14:36,28/02/2021 15:10,RS-1,1,control,2,4,2,4,1,6,1,4,2,5,1,2,1,5,2,6,3,2,6,2,6,2,6,1
R_OjIL607w1KL8NLr,27/02/2021 19:11,27/02/2021 18:47,27/02/2021 19:11,RS-1,1,action,2,5,1,5,2,3,2,6,2,3,1,5,1,6,2,3,4,1,5,1,2,2,3,2
R_7TGS1WSDK2gtkWZ,26/02/2021 4:32,26/02/2021 4:00,26/02/2021 4:32,RS-1,1,stationary,1,3,2,4,1,2,2,3,2,4,2,3,1,5,2,5,3,2,4,3,3,2,5,1
R_2D040LrzDnjnxX5,24/02/2021 23:34,24/02/2021 23:07,24/02/2021 23:34,RS-1,1,action,1,5,2,2,1,4,1,4,2,5,2,3,2,2,2,3,3,3,3,2,4,2,3,1
R_qXb6kFYFabudYuB,24/02/2021 15:57,24/02/2021 15:28,24/02/2021 15:57,RS-1,1,stationary,2,5,1,5,2,3,2,5,1,5,1,5,2,5,1,3,3,1,5,1,3,2,5,1
R_7OMvDnLUYAXcJ3P,23/02/2021 19:26,23/02/2021 18:57,23/02/2021 19:26,RS-1,1,control,1,4,1,3,1,3,1,3,2,3,2,2,1,3,2,5,3,2,2,1,3,2,4,2
R_9Z6V2jy8zanjCet,23/02/2021 13:16,23/02/2021 12:46,23/02/2021 13:16,RS-1,1,stationary,2,4,1,4,1,5,1,4,2,3,2,3,2,5,1,5,3,1,2,2,4,1,2,2
R_22Dqi8MmKyJQFs0,23/02/2021 17:03,23/02/2021 13:01,23/02/2021 13:03,RS-2,0,control,,,,,,,,,,,,,,,,,,,,,,,,
R_pau7R5HleInyIg1,23/02/2021 20:26,23/02/2021 16:09,23/02/2021 16:26,RS-2,0,control,,,1,7,2,4,,,1,3,1,7,,,,,,,,,,,,
R_2t4NJLn62bkRrJR,23/02/2021 16:54,23/02/2021 16:26,23/02/2021 16:54,RS-2,1,action,2,4,1,6,2,3,1,5,1,6,1,5,1,3,2,3,2,2,6,1,5,2,5,3
R_1gToA5dwcVrB0oE,24/02/2021 10:56,24/02/2021 10:07,24/02/2021 10:56,RS-2,1,stationary,1,2,2,3,2,4,2,1,2,5,2,5,1,5,1,3,2,2,3,3,5,1,2,2
R_2QhqaYt61VHa0fl,28/02/2021 21:18,28/02/2021 20:51,28/02/2021 21:18,RS-2,1,control,2,4,2,3,2,5,2,5,1,5,1,5,2,4,1,3,4,2,4,2,5,1,5,2
R_22RDcWfUmAZCCbb,04/03/2021 0:46,04/03/2021 0:16,04/03/2021 0:46,RS-2,1,action,1,5,2,5,1,6,2,5,1,7,2,7,1,2,2,3,4,1,5,1,3,2,2,3
R_1lABrnB3MyGot8y,10/03/2021 4:55,10/03/2021 0:35,10/03/2021 0:55,RS-2,0,action,,,,,,,,,,,,,,,,,,,,,,,,
R_3lPvEQtlP7KmTDj,10/03/2021 4:56,10/03/2021 0:55,10/03/2021 0:56,RS-2,0,stationary,,,,,,,,,,,,,,,,,,,,,,,,
R_1KqYfSodSCUQVfp,10/03/2021 1:31,10/03/2021 0:56,10/03/2021 1:31,RS-2,1,control,2,5,2,3,2,3,1,3,2,6,1,5,1,4,2,5,3,2,3,2,2,2,3,1
R_1GZJt7pDpDbHP7P,11/03/2021 16:06,11/03/2021 15:28,11/03/2021 16:06,RS-2,1,stationary,2,2,1,2,2,2,2,2,2,2,1,3,1,2,2,2,3,1,5,3,3,3,3,1
R_BE1HOd3Ugfx1YKR,12/03/2021 17:05,12/03/2021 13:00,12/03/2021 13:05,RS-2,0,action,,,,,,,,,,,,,,,,,,,,,,,,
R_diKlNstAqAVUlGx,12/03/2021 17:20,12/03/2021 16:56,12/03/2021 17:20,RS-2,1,stationary,1,3,2,5,1,3,2,5,1,3,2,5,2,5,2,2,3,1,6,1,5,1,3,3
R_2eOm5IYcM6ReLzL,15/03/2021 9:46,15/03/2021 9:17,15/03/2021 9:46,RS-2,1,action,2,3,2,3,1,2,1,2,2,1,2,2,1,2,2,2,2,2,3,2,1,2,1,2
R_3pg88lsRNKZsC2u,18/03/2021 22:51,18/03/2021 22:25,18/03/2021 22:51,RS-2,1,control,1,3,1,5,1,5,1,3,1,6,2,6,2,6,1,6,3,2,3,2,3,2,5,1
R_3L5eGkgfFgPrBfL,24/03/2021 17:54,24/03/2021 13:52,24/03/2021 13:54,RS-2,0,stationary,,,,,,,,,,,,,,,,,,,,,,,,
R_XNX5ZiDTsh5aiw9,28/03/2021 17:01,28/03/2021 16:31,28/03/2021 17:01,RS-2,1,control,2,4,2,7,1,5,1,4,2,5,2,7,2,3,1,4,5,2,3,2,4,2,3,1
R_2Qyw1pg2r1Zorut,31/03/2021 14:52,31/03/2021 14:23,31/03/2021 14:52,RS-2,1,stationary,2,2,2,4,1,2,1,4,1,3,2,1,1,2,1,3,1,2,3,2,2,2,1,2
R_55A6Wc3Ioig7PO1,03/04/2021 16:16,03/04/2021 15:49,03/04/2021 16:16,RS-2,1,control,2,2,2,6,2,6,1,2,1,2,1,2,2,2,1,3,2,2,3,2,2,2,4,2
R_recAzs3jcXnZ7Md,08/04/2021 1:13,07/04/2021 21:10,07/04/2021 21:13,RS-2,0,stationary,,,,,,,,,,,,,,,,,,,,,,,,
R_1K12yqCwViywoJf,08/04/2021 11:21,08/04/2021 10:42,08/04/2021 11:21,RS-2,1,action,2,3,1,3,1,5,1,2,1,4,2,4,2,3,2,2,4,2,3,2,5,1,4,2
R_3Ic4uQ9YZNVQXGE,23/02/2021 20:55,23/02/2021 16:50,23/02/2021 16:55,RS-3,0,control,,,,,,,,,,,,,,,,,,,,,,,,
R_2uU7IH5rL0I0Beu,23/02/2021 21:17,23/02/2021 17:13,23/02/2021 17:17,RS-3,0,stationary,,,,,,,,,,,,,,,,,,,,,,,,
R_2P86vYRWi4fyQnu,24/02/2021 15:12,24/02/2021 14:46,24/02/2021 15:12,RS-3,1,action,1,3,2,7,2,5,2,7,2,5,2,6,1,5,2,7,6,1,6,2,6,1,3,2
R_3gMjj5c4HnDNeVL,25/02/2021 18:23,25/02/2021 17:55,25/02/2021 18:23,RS-3,1,action,1,4,2,5,2,5,1,4,1,5,1,5,2,3,2,4,3,1,4,2,3,2,3,2
R_a9MSRxNGf5PoAdH,26/02/2021 22:24,26/02/2021 21:57,26/02/2021 22:24,RS-3,1,action,2,4,2,5,2,2,1,3,2,2,1,4,2,5,1,5,1,2,2,2,5,2,2,2
R_1fftoTDPgXSVn7m,01/03/2021 19:59,01/03/2021 15:54,01/03/2021 15:59,RS-3,0,control,,,,,,,,,,,,,,,,,,,,,,,,
R_2Xcyu1k8au3IJne,03/03/2021 15:37,03/03/2021 15:10,03/03/2021 15:37,RS-3,1,stationary,2,6,2,5,1,4,2,5,2,3,1,3,1,3,1,3,6,2,5,1,6,3,4,1
R_3fJzX6lUowC9Eqm,05/03/2021 20:58,05/03/2021 20:34,05/03/2021 20:58,RS-3,1,action,2,3,1,4,2,5,1,4,2,3,2,2,1,3,1,2,2,1,1,2,4,1,3,2
R_4SJVKhER6MUhxNn,06/03/2021 22:17,06/03/2021 21:51,06/03/2021 22:17,RS-3,1,stationary,2,4,2,3,2,3,1,3,1,1,2,2,1,2,1,3,4,2,2,2,3,1,5,2
R_1isvn10Ya3STFTi,08/03/2021 8:34,08/03/2021 8:05,08/03/2021 8:34,RS-3,1,control,1,2,2,4,1,2,1,6,2,1,2,3,1,2,1,2,5,2,3,1,2,1,5,2
R_WpTrLvuQZ0fnN97,11/03/2021 16:15,11/03/2021 15:47,11/03/2021 16:15,RS-3,1,action,1,5,2,6,1,3,2,5,2,4,1,4,1,5,2,5,4,1,4,2,4,2,3,1
R_1IaDNqugWs0onDJ,11/03/2021 19:08,11/03/2021 18:43,11/03/2021 19:08,RS-3,1,stationary,2,5,2,5,1,5,1,5,1,5,2,5,1,6,2,5,6,2,5,2,6,1,5,1
R_2S67YtQ0u0Nediw,12/03/2021 9:35,12/03/2021 9:08,12/03/2021 9:34,RS-3,1,action,1,1,2,5,1,2,1,3,1,2,1,5,1,2,2,1,2,2,1,1,3,2,1,2
R_25yXqXnTXEfJGgx,13/03/2021 12:15,13/03/2021 11:50,13/03/2021 12:15,RS-3,1,stationary,1,5,2,4,1,3,1,5,2,4,2,3,1,5,1,4,5,2,3,2,4,2,4,2
R_3iPC0UtSkL5wSLd,02/04/2021 19:03,02/04/2021 18:38,02/04/2021 19:03,RS-3,1,stationary,1,1,2,3,2,2,1,1,2,1,2,2,1,2,2,2,1,1,1,1,2,2,1,3
R_ZwxZ6NcCX9IhGgh,03/04/2021 15:17,03/04/2021 14:45,03/04/2021 15:17,RS-3,1,control,1,5,2,3,1,3,2,5,2,3,2,5,1,6,1,3,3,1,3,1,5,2,5,1
R_Xk4nj9EiblUI9oZ,06/04/2021 13:30,06/04/2021 12:53,06/04/2021 13:30,RS-3,1,action,2,3,2,6,2,5,1,1,1,2,2,2,1,4,2,1,4,1,3,2,2,2,5,2
R_3KSFfa1fuAM35Uq,23/02/2021 9:33,23/02/2021 9:06,23/02/2021 9:33,SLS-1,1,control,1,7,1,4,1,5,1,5,2,7,2,5,2,7,1,3,5,3,3,2,4,1,3,2
R_22YeesBACbP17Xl,23/02/2021 11:37,23/02/2021 11:07,23/02/2021 11:36,SLS-1,1,action,1,5,2,5,2,5,1,6,1,6,1,6,2,7,2,7,5,2,6,2,5,1,5,1
R_1FtCHinZ1VmGctM,23/02/2021 23:08,23/02/2021 22:37,23/02/2021 23:08,SLS-1,1,control,1,4,1,5,1,5,1,5,1,4,2,3,2,6,2,4,2,1,4,2,5,1,3,2
R_2txU80tqpU5oWDK,24/02/2021 19:01,24/02/2021 18:35,24/02/2021 19:01,SLS-1,1,stationary,2,2,1,4,1,6,1,3,2,2,2,3,2,6,2,3,5,2,3,1,3,2,2,2
R_1hKD8bqt0U4mqUT,25/02/2021 13:07,25/02/2021 12:37,25/02/2021 13:07,SLS-1,1,action,2,2,2,2,2,3,2,5,1,3,1,2,2,1,2,2,1,3,4,1,2,1,3,3
R_1qahVm0PTQfV030,27/02/2021 9:42,27/02/2021 9:18,27/02/2021 9:42,SLS-1,1,action,1,5,2,3,1,3,2,3,2,5,2,3,2,7,2,2,2,3,5,2,3,2,3,2
R_3qebFBcGGEKvIJ7,28/02/2021 15:07,28/02/2021 14:42,28/02/2021 15:07,SLS-1,1,stationary,1,6,2,3,1,3,2,3,2,3,1,2,1,5,2,1,3,2,2,2,5,2,3,2
R_1MSNeuaT5ao9PaC,01/03/2021 18:16,01/03/2021 17:45,01/03/2021 18:16,SLS-1,1,control,2,5,2,3,1,3,2,7,2,2,1,5,2,6,1,3,1,1,1,2,3,2,2,2
R_5bxYVYjgXHvZtzr,03/03/2021 12:47,03/03/2021 12:14,03/03/2021 12:47,SLS-1,1,control,1,5,2,1,2,3,1,5,2,6,1,4,2,7,2,5,7,3,3,3,1,2,5,3
R_UuvXDvQe8lxyhfH,06/03/2021 20:59,06/03/2021 16:49,06/03/2021 16:59,SLS-1,0,action,,,,,,,,,,,,,,,,,,,,,,,,
R_1gtnRHluySObaEd,06/03/2021 20:20,06/03/2021 16:59,06/03/2021 20:20,SLS-1,1,stationary,2,5,2,6,1,5,1,6,1,3,1,5,1,5,2,7,5,1,6,1,6,1,3,3
R_32RCguc6SxUOIVY,16/03/2021 9:29,16/03/2021 8:53,16/03/2021 9:29,SLS-1,1,action,1,3,2,2,1,5,2,2,2,2,2,2,2,4,1,1,2,2,1,3,1,2,1,1
R_1NlF3wGEg7CjHxt,19/03/2021 21:08,19/03/2021 20:32,19/03/2021 21:08,SLS-1,1,action,1,6,2,4,1,3,1,5,2,7,2,5,2,7,2,5,4,1,4,2,6,2,3,1
R_cSFU8oIxXXpKG3f,02/04/2021 0:20,01/04/2021 23:52,02/04/2021 0:20,SLS-1,1,stationary,1,7,2,5,2,5,2,5,2,3,1,5,2,6,2,6,7,3,5,2,6,1,3,1
R_116qdOU3IK0Egpr,02/04/2021 13:13,02/04/2021 12:43,02/04/2021 13:13,SLS-1,1,control,1,3,2,5,2,3,2,3,1,2,2,3,2,5,2,3,5,3,3,1,3,2,3,1
R_3qlFd2JshwMZSN4,03/04/2021 20:01,03/04/2021 19:28,03/04/2021 20:01,SLS-1,1,stationary,1,3,1,4,1,4,1,6,1,6,2,4,2,7,2,5,5,2,4,2,5,2,4,1
R_2aKtPsBD5xoat1J,06/04/2021 11:18,06/04/2021 10:48,06/04/2021 11:18,SLS-1,1,action,1,3,2,4,1,6,2,2,2,7,1,5,2,7,2,3,7,1,6,1,3,2,5,3
R_3oZVIolfnWIc2HD,06/04/2021 17:48,06/04/2021 17:21,06/04/2021 17:48,SLS-1,1,control,2,3,2,3,2,6,2,5,2,6,2,3,2,7,2,5,2,2,3,2,4,2,6,1
R_1n9hXXlqv4725Nx,23/02/2021 13:03,23/02/2021 9:03,23/02/2021 9:03,SLS-2,0,stationary,,,,,,,,,,,,,,,,,,,,,,,,
R_xDBozmNIJhLwDMB,23/02/2021 12:00,23/02/2021 11:34,23/02/2021 12:00,SLS-2,1,stationary,1,2,1,5,2,2,1,4,2,4,2,2,2,3,1,2,2,2,3,1,4,2,4,1
R_3jdnVXeXzCFjRyz,25/02/2021 3:37,24/02/2021 23:36,24/02/2021 23:37,SLS-2,0,action,,,,,,,,,,,,,,,,,,,,,,,,
R_2w62m0QjvI58rMO,25/02/2021 19:18,25/02/2021 18:45,25/02/2021 19:18,SLS-2,1,control,1,5,2,3,1,4,2,6,1,6,2,3,2,6,2,6,3,2,5,1,5,1,6,2
R_w1tERrKrnr23GIV,26/02/2021 15:50,26/02/2021 15:26,26/02/2021 15:50,SLS-2,1,action,1,4,1,5,1,6,2,3,2,5,2,6,1,5,1,4,4,2,5,3,7,1,3,1
R_yBJcWiGUlZbxLuF,26/02/2021 22:12,26/02/2021 21:49,26/02/2021 22:12,SLS-2,1,control,1,7,1,5,2,3,1,7,1,5,2,5,1,5,1,5,7,1,5,3,5,2,7,1
R_BzgpyhFK6vCMUgN,28/02/2021 11:06,28/02/2021 10:30,28/02/2021 11:06,SLS-2,1,stationary,1,7,1,7,1,4,1,7,2,7,2,7,1,3,2,7,7,1,7,1,7,1,7,1
R_2rkjwQWCsVwRGuY,01/03/2021 12:18,01/03/2021 11:37,01/03/2021 12:18,SLS-2,1,stationary,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2
R_27x3rOFJ0mxbfzl,08/03/2021 15:22,08/03/2021 15:00,08/03/2021 15:22,SLS-2,1,control,2,5,2,5,2,5,2,5,2,6,2,6,1,4,2,6,1,2,1,2,1,2,1,2
R_Toc7KrnXwSl8JsB,11/03/2021 14:23,11/03/2021 13:56,11/03/2021 14:23,SLS-2,1,action,2,2,1,2,2,3,1,2,1,2,2,3,1,2,2,2,3,2,2,1,2,2,6,1
R_24ee4Pzz0MfRvSt,26/03/2021 13:14,26/03/2021 12:48,26/03/2021 13:14,SLS-2,1,stationary,1,3,1,5,2,3,1,3,2,3,2,3,2,3,1,3,2,1,2,2,5,2,6,1
R_1dlRMVtlkOHFKUh,27/03/2021 20:10,27/03/2021 19:44,27/03/2021 20:10,SLS-2,1,control,2,4,2,4,2,4,1,4,2,4,2,4,2,4,2,4,4,1,4,1,4,3,4,1
R_2RX1w1tljXBbsF5,02/04/2021 21:05,02/04/2021 20:32,02/04/2021 21:05,SLS-2,1,control,2,5,2,2,1,7,1,6,2,3,1,7,1,6,1,4,5,2,2,2,4,1,6,1
R_24ADeoWP3McWbyU,05/04/2021 21:16,05/04/2021 20:51,05/04/2021 21:15,SLS-2,1,action,1,3,2,2,1,3,1,3,1,3,2,5,2,4,2,5,3,1,5,1,3,1,3,1
R_2dFMY5BGCSKCEQ3,24/02/2021 7:37,24/02/2021 7:03,24/02/2021 7:36,SLS-3,1,control,1,4,1,2,1,6,1,6,2,5,2,3,1,6,1,5,5,2,3,2,5,2,4,2
R_1E5Li6MeMODL34o,24/02/2021 15:15,24/02/2021 14:46,24/02/2021 15:15,SLS-3,1,stationary,2,4,2,5,1,2,2,2,1,3,1,3,1,2,2,6,5,1,3,2,3,3,2,2
R_25S29Kh6VpaLFqw,25/02/2021 16:30,25/02/2021 11:46,25/02/2021 12:30,SLS-3,0,stationary,2,3,1,2,1,5,1,6,2,1,2,4,2,3,2,2,3,1,1,2,3,1,1,1
R_3kcfIwWe0K5Ohab,25/02/2021 16:31,25/02/2021 12:30,25/02/2021 12:31,SLS-3,0,control,,,,,,,,,,,,,,,,,,,,,,,,
R_1K9cVUEdzyFSf7e,25/02/2021 16:35,25/02/2021 12:31,25/02/2021 12:35,SLS-3,0,action,,,,,,,,,,,,,,,,,,,,,,,,
R_3oZSjHLM9sTWMCS,27/02/2021 23:40,27/02/2021 23:08,27/02/2021 23:40,SLS-3,1,action,2,4,2,3,2,5,2,5,2,1,2,5,1,4,1,4,3,2,4,2,5,2,6,1
R_2gaGSLsPzgCfoRj,28/02/2021 21:07,28/02/2021 20:31,28/02/2021 21:07,SLS-3,1,stationary,2,2,2,2,2,2,1,3,1,2,1,2,1,2,1,3,3,2,3,1,3,2,2,1
R_cSI0E1AtixLPrwd,01/03/2021 20:00,01/03/2021 16:00,01/03/2021 16:00,SLS-3,0,control,,,,,,,,,,,,,,,,,,,,,,,,
R_27JBGeyWlu3EFI3,06/03/2021 17:40,06/03/2021 17:17,06/03/2021 17:40,SLS-3,1,control,2,4,2,5,2,5,2,5,1,5,2,6,2,5,2,5,4,1,4,1,4,2,4,1
R_PtTsoJVPOfTW2rv,09/03/2021 11:57,09/03/2021 7:40,09/03/2021 7:57,SLS-3,0,stationary,1,5,,,,,,,1,6,,,1,3,,,,,,,,,,
R_1Kwq1MUhgnoFENe,09/03/2021 8:24,09/03/2021 7:57,09/03/2021 8:24,SLS-3,1,action,1,5,2,4,2,3,2,3,2,3,1,5,1,5,2,5,5,1,3,2,3,1,6,1
R_1riYiWF6k8RQCBu,12/03/2021 2:53,12/03/2021 2:22,12/03/2021 2:53,SLS-3,1,action,1,6,1,4,1,5,1,7,2,5,2,5,1,6,2,7,7,1,7,2,6,1,6,1
R_2Ytzt4geaOLSqOm,12/03/2021 9:31,12/03/2021 9:06,12/03/2021 9:31,SLS-3,1,control,2,5,1,6,1,3,1,3,1,3,2,3,2,5,1,4,1,2,3,1,5,1,3,3
R_2y4qyblvZ1LxqjJ,12/03/2021 9:37,12/03/2021 9:00,12/03/2021 9:37,SLS-3,1,stationary,1,2,1,5,1,5,1,4,2,2,2,1,2,1,2,1,6,1,5,3,7,1,2,2
R_6QEugdiR7pfRbR7,16/03/2021 8:20,16/03/2021 7:53,16/03/2021 8:20,SLS-3,1,stationary,1,6,1,7,1,7,1,7,2,7,2,6,2,4,1,3,4,1,6,1,7,1,7,1
R_3qVaJqFhHEw1Q8X,20/03/2021 14:29,20/03/2021 10:28,20/03/2021 10:29,SLS-3,0,action,,,,,,,,,,,,,,,,,,,,,,,,
R_1EYuvfi1bmW6kQW,22/03/2021 1:22,22/03/2021 0:48,22/03/2021 1:22,SLS-3,1,control,2,3,2,3,1,3,2,3,2,3,1,3,2,3,1,3,4,2,2,3,3,1,2,1
R_1ohG4eAV1OPEjaQ,03/04/2021 10:58,03/04/2021 8:40,03/04/2021 10:58,SLS-3,1,action,1,2,2,2,2,5,1,7,1,6,1,4,2,3,2,2,5,1,3,1,5,1,5,3
