ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,SLS-1_T-1_Recognitio,SLS-1_T-1_Likert_1,SLS-1_T-2_Recognitio,SLS-1_T-2_Likert_1,SLS-1_T-3_Recognitio,SLS-1_T-3_Likert_1,SLS-1_T-4_Recognitio,SLS-1_T-4_Likert_1,SLS-1_UT-1Recognitio,SLS-1_UT-1_Likert_1,SLS-1_UT-2Recognitio,SLS-1_UT-2_Likert_1,SLS-1_UT-3Recognitio,SLS-1_UT-3_Likert_1,SLS-1_UT-4Recognitio,SLS-1_UT-4_Likert_1,SLS-1_T-1c_Likert_1,CorrectMvt_SLS-1_T-1,SLS-1_T-2c_Likert_1,CorrectMvt_SLS-1_T-2,SLS-1_T-3c_Likert_1,CorrectMvt_SLS-1_T-3,SLS-1_T-4c_Likert_1,CorrectMvt_SLS-1_T-4
R_2wFg7Miy8OTjtaT,2020-12-12 23:25:41,2020-12-12 22:55:40,2020-12-12 23:25:41,1,action,1,3,2,5,1,5,2,3,2,6,1,5,2,6,1,7,6,1,5,2,3,1,5,3
R_3Kvahc6B8d3OFpq,2020-12-13 20:30:33,2020-12-13 19:55:01,2020-12-13 20:30:32,1,control,1,6,2,5,2,3,2,3,2,5,1,6,2,7,1,2,5,2,1,2,2,2,5,3
R_ey5KBdRc5RLiFs5,2020-12-14 18:36:20,2020-12-14 18:10:11,2020-12-14 18:36:19,1,stationary,1,2,1,2,1,5,2,3,2,5,2,5,1,3,1,3,3,1,3,2,3,1,5,2
R_1lmnsX6B7rrWarZ,2020-12-16 08:55:09,2020-12-16 08:24:46,2020-12-16 08:55:09,1,stationary,1,4,2,5,1,2,1,3,2,2,2,3,2,6,1,6,5,3,5,1,3,2,5,3
R_3KSFfa1fuAM35Uq,2021-02-23 09:33:42,2021-02-23 09:06:11,2021-02-23 09:33:42,1,control,1,7,1,4,1,5,1,5,2,7,2,5,2,7,1,3,5,3,3,2,4,1,3,2
R_22YeesBACbP17Xl,2021-02-23 11:37:00,2021-02-23 11:07:43,2021-02-23 11:36:59,1,action,1,5,2,5,2,5,1,6,1,6,1,6,2,7,2,7,5,2,6,2,5,1,5,1
R_1FtCHinZ1VmGctM,2021-02-23 23:08:05,2021-02-23 22:37:55,2021-02-23 23:08:04,1,control,1,4,1,5,1,5,1,5,1,4,2,3,2,6,2,4,2,1,4,2,5,1,3,2
R_2txU80tqpU5oWDK,2021-02-24 19:01:23,2021-02-24 18:35:12,2021-02-24 19:01:23,1,stationary,2,2,1,4,1,6,1,3,2,2,2,3,2,6,2,3,5,2,3,1,3,2,2,2
R_1hKD8bqt0U4mqUT,2021-02-25 13:07:37,2021-02-25 12:37:16,2021-02-25 13:07:36,1,action,2,2,2,2,2,3,2,5,1,3,1,2,2,1,2,2,1,3,4,1,2,1,3,3
R_1qahVm0PTQfV030,2021-02-27 09:42:07,2021-02-27 09:18:49,2021-02-27 09:42:07,1,action,1,5,2,3,1,3,2,3,2,5,2,3,2,7,2,2,2,3,5,2,3,2,3,2
R_3qebFBcGGEKvIJ7,2021-02-28 15:07:01,2021-02-28 14:42:14,2021-02-28 15:07:00,1,stationary,1,6,2,3,1,3,2,3,2,3,1,2,1,5,2,1,3,2,2,2,5,2,3,2
R_1MSNeuaT5ao9PaC,2021-03-01 18:16:12,2021-03-01 17:45:32,2021-03-01 18:16:11,1,control,2,5,2,3,1,3,2,7,2,2,1,5,2,6,1,3,1,1,1,2,3,2,2,2
R_5bxYVYjgXHvZtzr,2021-03-03 12:47:19,2021-03-03 12:14:30,2021-03-03 12:47:19,1,control,1,5,2,1,2,3,1,5,2,6,1,4,2,7,2,5,7,3,3,3,1,2,5,3
R_1gtnRHluySObaEd,2021-03-06 20:20:04,2021-03-06 16:59:50,2021-03-06 20:20:04,1,stationary,2,5,2,6,1,5,1,6,1,3,1,5,1,5,2,7,5,1,6,1,6,1,3,3
R_UuvXDvQe8lxyhfH,2021-03-06 20:59:53,2021-03-06 16:49:53,2021-03-06 16:59:49,0,action,,,,,,,,,,,,,,,,,,,,,,,,
R_32RCguc6SxUOIVY,2021-03-16 09:29:16,2021-03-16 08:53:17,2021-03-16 09:29:15,1,action,1,3,2,2,1,5,2,2,2,2,2,2,2,4,1,1,2,2,1,3,1,2,1,1
R_1NlF3wGEg7CjHxt,2021-03-19 21:08:40,2021-03-19 20:32:42,2021-03-19 21:08:40,1,action,1,6,2,4,1,3,1,5,2,7,2,5,2,7,2,5,4,1,4,2,6,2,3,1
R_cSFU8oIxXXpKG3f,2021-04-02 00:20:09,2021-04-01 23:52:41,2021-04-02 00:20:09,1,stationary,1,7,2,5,2,5,2,5,2,3,1,5,2,6,2,6,7,3,5,2,6,1,3,1
R_116qdOU3IK0Egpr,2021-04-02 13:13:31,2021-04-02 12:43:24,2021-04-02 13:13:30,1,control,1,3,2,5,2,3,2,3,1,2,2,3,2,5,2,3,5,3,3,1,3,2,3,1
R_3qlFd2JshwMZSN4,2021-04-03 20:01:01,2021-04-03 19:28:46,2021-04-03 20:01:00,1,stationary,1,3,1,4,1,4,1,6,1,6,2,4,2,7,2,5,5,2,4,2,5,2,4,1
R_2aKtPsBD5xoat1J,2021-04-06 11:18:27,2021-04-06 10:48:56,2021-04-06 11:18:27,1,action,1,3,2,4,1,6,2,2,2,7,1,5,2,7,2,3,7,1,6,1,3,2,5,3
R_3oZVIolfnWIc2HD,2021-04-06 17:48:14,2021-04-06 17:21:05,2021-04-06 17:48:14,1,control,2,3,2,3,2,6,2,5,2,6,2,3,2,7,2,5,2,2,3,2,4,2,6,1
